	charge	food	colthes	travel	total
	18	7000	30	2000	2000	21950
	17	6650	29	1900	1900	42803
	16	6318	27	1805	1805	62612
	15	6002	26	1715	1715	81432
	14	5702	24	1629	1629	99310
	13	5416	23	1548	1548	116295
	12	5146	22	1470	1470	132430
	11	4888	21	1397	1397	147758
	10	4644	20	1327	1327	162321
	9	4412	19	1260	1260	176155
	8	4191	18	1197	1197	189297
	7	3982	17	1138	1138	201782
	6	3783	16	1081	1081	213643
	5	3593	15	1027	1027	224911
	4	3414	15	975	975	235615
	3	3243	14	927	927	245784
	2	3081	13	880	880	255445
	1	2927	13	836	836	264623
